_c0,ts,open,high,low,close,volume,ts_readable,ma_50_raw,ma_50,prev_close,prev_ma50,buy_signal
12896,1736463360000,186.41,186.63,186.38,186.54,1588.885,2025-01-10 04:26:00,185.68780000000004,185.68780000000004,186.4,185.6396,0
12897,1736463420000,186.54,186.63,186.5,186.51,810.54,2025-01-10 04:27:00,185.73580000000004,185.73580000000004,186.54,185.68780000000004,0
12898,1736463480000,186.51,186.51,186.19,186.19,778.159,2025-01-10 04:28:00,185.77220000000005,185.77220000000005,186.51,185.73580000000004,0
12899,1736463540000,186.18,186.19,185.92,185.92,1569.239,2025-01-10 04:29:00,185.80640000000002,185.80640000000002,186.19,185.77220000000005,0
12900,1736463600000,185.93,186.03,185.7,185.7,1171.305,2025-01-10 04:30:00,185.84500000000003,185.84500000000003,185.92,185.80640000000002,0
12901,1736463660000,185.71,186.08,185.7,186.03,1993.519,2025-01-10 04:31:00,185.88420000000005,185.88420000000005,185.7,185.84500000000003,1
12902,1736463720000,186.04,186.05,185.86,185.96,1449.883,2025-01-10 04:32:00,185.93140000000002,185.93140000000002,186.03,185.88420000000005,0
12903,1736463780000,185.95,186.13,185.88,186.13,2180.183,2025-01-10 04:33:00,185.98860000000002,185.98860000000002,185.96,185.93140000000002,0
12904,1736463840000,186.13,186.13,185.58,185.58,5412.211,2025-01-10 04:34:00,186.0304,186.0304,186.13,185.98860000000002,0
12905,1736463900000,185.58,185.59,185.22,185.25,1737.9,2025-01-10 04:35:00,186.05299999999997,186.05299999999997,185.58,186.0304,0
12906,1736463960000,185.25,185.4,185.13,185.35,2568.262,2025-01-10 04:36:00,186.07739999999998,186.07739999999998,185.25,186.05299999999997,0
12907,1736464020000,185.34,185.68,185.34,185.5,1582.541,2025-01-10 04:37:00,186.10179999999997,186.10179999999997,185.35,186.07739999999998,0
12908,1736464080000,185.5,186.05,185.49,186.04,2295.758,2025-01-10 04:38:00,186.129,186.129,185.5,186.10179999999997,0
12909,1736464140000,186.05,186.05,185.76,185.77,937.605,2025-01-10 04:39:00,186.1508,186.1508,186.04,186.129,0
12910,1736464200000,185.77,185.77,185.6,185.62,953.319,2025-01-10 04:40:00,186.17060000000004,186.17060000000004,185.77,186.1508,0
12911,1736464260000,185.62,185.92,185.61,185.89,497.066,2025-01-10 04:41:00,186.1986,186.1986,185.62,186.17060000000004,0
12912,1736464320000,185.88,185.88,185.75,185.78,605.051,2025-01-10 04:42:00,186.21860000000004,186.21860000000004,185.89,186.1986,0
12913,1736464380000,185.77,186.11,185.77,185.97,2237.628,2025-01-10 04:43:00,186.23880000000005,186.23880000000005,185.78,186.21860000000004,0
12914,1736464440000,185.97,186.01,185.86,185.92,1351.938,2025-01-10 04:44:00,186.25200000000004,186.25200000000004,185.97,186.23880000000005,0
12915,1736464500000,185.92,185.92,185.7,185.84,764.708,2025-01-10 04:45:00,186.2572,186.2572,185.92,186.25200000000004,0
12916,1736464560000,185.84,185.84,185.45,185.56,2895.366,2025-01-10 04:46:00,186.2606,186.2606,185.84,186.2572,0
12917,1736464620000,185.56,185.83,185.56,185.7,1050.284,2025-01-10 04:47:00,186.26460000000003,186.26460000000003,185.56,186.2606,0
12918,1736464680000,185.7,185.86,185.7,185.77,718.016,2025-01-10 04:48:00,186.2692,186.2692,185.7,186.26460000000003,0
12919,1736464740000,185.77,185.92,185.75,185.86,690.99,2025-01-10 04:49:00,186.27260000000007,186.27260000000007,185.77,186.2692,0
12920,1736464800000,185.86,186.17,185.86,186.01,766.56,2025-01-10 04:50:00,186.26880000000006,186.26880000000006,185.86,186.27260000000007,0
12921,1736464860000,186.01,186.1,186.01,186.05,450.718,2025-01-10 04:51:00,186.26300000000003,186.26300000000003,186.01,186.26880000000006,0
12922,1736464920000,186.05,186.06,185.72,185.73,963.847,2025-01-10 04:52:00,186.25240000000002,186.25240000000002,186.05,186.26300000000003,0
12923,1736464980000,185.72,185.77,185.61,185.76,1646.63,2025-01-10 04:53:00,186.24520000000004,186.24520000000004,185.73,186.25240000000002,0
12924,1736465040000,185.76,185.83,185.71,185.73,429.829,2025-01-10 04:54:00,186.22960000000003,186.22960000000003,185.76,186.24520000000004,0
12925,1736465100000,185.74,185.79,185.65,185.72,1023.408,2025-01-10 04:55:00,186.21739999999997,186.21739999999997,185.73,186.22960000000003,0
12926,1736465160000,185.72,185.73,185.38,185.43,1637.754,2025-01-10 04:56:00,186.19019999999998,186.19019999999998,185.72,186.21739999999997,0
12927,1736465220000,185.43,185.49,185.23,185.23,1645.425,2025-01-10 04:57:00,186.15379999999996,186.15379999999996,185.43,186.19019999999998,0
12928,1736465280000,185.23,185.27,185.0,185.02,3763.425,2025-01-10 04:58:00,186.10320000000004,186.10320000000004,185.23,186.15379999999996,0
12929,1736465340000,185.01,185.09,184.96,185.08,1702.89,2025-01-10 04:59:00,186.06340000000003,186.06340000000003,185.02,186.10320000000004,0
12930,1736465400000,185.09,185.39,185.03,185.39,1651.386,2025-01-10 05:00:00,186.03420000000003,186.03420000000003,185.08,186.06340000000003,0
12931,1736465460000,185.39,185.39,185.11,185.11,734.015,2025-01-10 05:01:00,185.99320000000003,185.99320000000003,185.39,186.03420000000003,0
12932,1736465520000,185.1,185.21,185.07,185.14,771.737,2025-01-10 05:02:00,185.9608,185.9608,185.11,185.99320000000003,0
12933,1736465580000,185.15,185.2,185.0,185.2,1111.761,2025-01-10 05:03:00,185.92600000000002,185.92600000000002,185.14,185.9608,0
12934,1736465640000,185.19,185.35,185.13,185.25,1372.504,2025-01-10 05:04:00,185.89420000000007,185.89420000000007,185.2,185.92600000000002,0
12935,1736465700000,185.26,185.43,185.26,185.34,860.726,2025-01-10 05:05:00,185.86460000000002,185.86460000000002,185.25,185.89420000000007,0
12936,1736465760000,185.33,185.36,185.21,185.3,1366.675,2025-01-10 05:06:00,185.83340000000004,185.83340000000004,185.34,185.86460000000002,0
12937,1736465820000,185.3,185.3,185.07,185.14,1733.988,2025-01-10 05:07:00,185.79940000000002,185.79940000000002,185.3,185.83340000000004,0
12938,1736465880000,185.13,185.14,184.73,184.74,3677.231,2025-01-10 05:08:00,185.7586,185.7586,185.14,185.79940000000002,0
12939,1736465940000,184.74,184.84,184.52,184.79,1933.64,2025-01-10 05:09:00,185.722,185.722,184.74,185.7586,0
12940,1736466000000,184.79,185.06,184.76,185.05,1627.355,2025-01-10 05:10:00,185.68959999999998,185.68959999999998,184.79,185.722,0
12941,1736466060000,185.06,185.06,184.76,184.76,1061.587,2025-01-10 05:11:00,185.65439999999998,185.65439999999998,185.05,185.68959999999998,0
12942,1736466120000,184.76,184.86,184.75,184.79,696.006,2025-01-10 05:12:00,185.62360000000004,185.62360000000004,184.76,185.65439999999998,0
12943,1736466180000,184.8,184.8,184.56,184.69,2026.119,2025-01-10 05:13:00,185.59000000000006,185.59000000000006,184.79,185.62360000000004,0
12944,1736466240000,184.68,184.68,184.45,184.58,1799.457,2025-01-10 05:14:00,185.55620000000002,185.55620000000002,184.69,185.59000000000006,0
12945,1736466300000,184.59,184.65,184.42,184.64,2639.282,2025-01-10 05:15:00,185.52100000000002,185.52100000000002,184.58,185.55620000000002,0
12946,1736466360000,184.64,184.72,184.37,184.38,2066.779,2025-01-10 05:16:00,185.4778,185.4778,184.64,185.52100000000002,0
12947,1736466420000,184.38,184.73,184.32,184.61,1336.595,2025-01-10 05:17:00,185.4398,185.4398,184.38,185.4778,0
12948,1736466480000,184.61,184.66,184.54,184.66,1308.165,2025-01-10 05:18:00,185.40919999999997,185.40919999999997,184.61,185.4398,0
12949,1736466540000,184.66,184.66,184.5,184.52,1329.54,2025-01-10 05:19:00,185.38119999999998,185.38119999999998,184.66,185.40919999999997,0
12950,1736466600000,184.52,184.76,184.49,184.75,2160.791,2025-01-10 05:20:00,185.3622,185.3622,184.52,185.38119999999998,0
12951,1736466660000,184.76,184.88,184.7,184.76,2551.532,2025-01-10 05:21:00,185.33680000000004,185.33680000000004,184.75,185.3622,0
12952,1736466720000,184.77,185.26,184.76,185.17,5460.486,2025-01-10 05:22:00,185.32100000000003,185.32100000000003,184.76,185.33680000000004,0
12953,1736466780000,185.17,185.2,185.05,185.05,1346.898,2025-01-10 05:23:00,185.29940000000002,185.29940000000002,185.17,185.32100000000003,0
12954,1736466840000,185.05,185.12,184.89,184.91,1038.991,2025-01-10 05:24:00,185.28599999999997,185.28599999999997,185.05,185.29940000000002,0
12955,1736466900000,184.9,184.99,184.87,184.93,698.64,2025-01-10 05:25:00,185.2796,185.2796,184.91,185.28599999999997,0
12956,1736466960000,184.94,184.99,184.92,184.98,785.23,2025-01-10 05:26:00,185.2722,185.2722,184.93,185.2796,0
12957,1736467020000,184.98,185.1,184.9,185.02,1301.11,2025-01-10 05:27:00,185.2626,185.2626,184.98,185.2722,0
12958,1736467080000,185.03,185.2,185.03,185.19,3005.869,2025-01-10 05:28:00,185.24560000000002,185.24560000000002,185.02,185.2626,0
12959,1736467140000,185.19,185.19,184.89,184.95,3683.328,2025-01-10 05:29:00,185.22920000000005,185.22920000000005,185.19,185.24560000000002,0
12960,1736467200000,184.96,185.77,184.95,185.69,4306.185,2025-01-10 05:30:00,185.23060000000004,185.23060000000004,184.95,185.22920000000005,1
12961,1736467260000,185.68,185.71,185.5,185.59,1567.518,2025-01-10 05:31:00,185.22460000000007,185.22460000000007,185.69,185.23060000000004,0
12962,1736467320000,185.58,185.85,185.51,185.66,2760.636,2025-01-10 05:32:00,185.22220000000002,185.22220000000002,185.59,185.22460000000007,0
12963,1736467380000,185.65,185.69,185.38,185.39,2230.188,2025-01-10 05:33:00,185.2106,185.2106,185.66,185.22220000000002,0
12964,1736467440000,185.4,185.46,185.23,185.38,4233.423,2025-01-10 05:34:00,185.19979999999998,185.19979999999998,185.39,185.2106,0
12965,1736467500000,185.37,185.58,185.33,185.57,2279.067,2025-01-10 05:35:00,185.19439999999997,185.19439999999997,185.38,185.19979999999998,0
12966,1736467560000,185.57,185.83,185.52,185.78,5361.358,2025-01-10 05:36:00,185.19879999999998,185.19879999999998,185.57,185.19439999999997,0
12967,1736467620000,185.78,185.9,185.64,185.72,2816.528,2025-01-10 05:37:00,185.1992,185.1992,185.78,185.19879999999998,0
12968,1736467680000,185.72,185.77,185.39,185.39,1685.755,2025-01-10 05:38:00,185.19159999999997,185.19159999999997,185.72,185.1992,0
